Code,Barcode,Omschrijving,Aantal
"01001,0702633010011,""Robin steunring met 3 pootjes"",10"
"01002,0702633010028,""Robin steunring met 3 pootjes"",10"
"01003,0702633010035,""Robin steunring met 3 pootjes"",10"
"01020,0702633010202,""Robin groeiraster met 3 pootjes"",10"
"01021,0702633010219,""Robin groeiraster met 3 pootjes"",10"
"03010,0702633030101,""Rozenboog massief, groen"",1"
"03015,0702633030156,""Rozenboog Twiggy massief, buigbaar draad, groen"",1"
"03211,0702633032112,""Borderrand Metaal Premium  - Groen - 16x100cm"",10"
"03212,0702633032129,""Borderrand Metaal Premium  - Groen - 24x100cm"",10"
"03223,0702633032235,""Borderrand Metaal Premium  - Mat Zwart - 16x100cm"",10"
"03224,0702633032242,""Borderrand Metaal Premium  - Mat Zwart - 24x100cm"",10"
"03235,0702633032358,""Borderrand Metaal Premium  - Roest Cortenstaal  - 16x100cm"",10"
"03236,0702633032365,""Borderrand Metaal Premium  - Roest Cortenstaal  - 24x100cm"",10"
"03424,0702633034246,""Borderrand Metaal - Zwart - Op Rol - 15x500cm"",4"
"03425,0702633034253,""Borderrand Metaal - Zwart - Op Rol - 15x1000cm"",4"
"03457,0702633034574,""Borderrand Metaal - Roest - Op Rol - 15x500cm"",4"
"03458,0702633034581,""Borderrand Metaal - Roest - Op Rol - 15x1000cm"",4"
"04001,0702633040018,""Twiggy Garden, groen"",10"
"04302,0702633043026,""Mini Twiggy geschulpt, wit"",15"
"04303,0702633043033,""Mini Twiggy geschulpt, rose"",15"
"04304,0702633043040,""Mini Twiggy geschulpt, fuchsia"",15"
"06403,0702633064038,""Pot anker"",10"
"06412,0702633064120,""Potsteun met buigbare takjes"",10"
"06413,0702633064137,""Potsteun met ring en takje"",10"
"06414,0702633064144,""Potsteun spiraal"",10"
"06415,0702633064151,""Potsteun spiraal"",10"
"06416,0702633064168,""Potsteun met buigbare takjes"",10"
"06417,0702633064175,""Potsteun met ring en takje"",10"
"06418,0702633064182,""Potsteun spiraal"",10"
"06504,0702633065042,""Herdershaak, groen"",10"
"06505,0702633065059,""Hanger voor bloempot, groen"",6"
"06506,0702633065066,""Hanger voor bloempot, wit"",6"
"06601,0702633066018,""Plantenhouder 50 cm"",10"
"06602,0702633066025,""Plantenhouder 75 cm"",10"
"06603,0702633066032,""Plantenhouder 100 cm"",10"
"07011,0702633070114,""Trellis S - Groen - incl. 4 muurbevestingen"",10"
"07012,0702633070121,""Trellis M - Groen - incl. 4 muurbevestingen"",10"
"07013,0702633070138,""Trellis L - Groen - incl. 4 muurbevestingen"",10"
"07014,0702633070145,""Trellis Waaier - Groen -  incl. 4 muurbevestingen"",10"
"07015,0702633070152,""Trellis Regenpijp - Groen - incl 4 muurbevestigingen"",10"
"07090,0702633070909,""Muurclips voor trellis - Groen / 4 stuks"",10"
"07091,0702633070916,""Verbindingsclips & Koppelstukjes / 4 stuks"",10"
"07095,0702633070954,""Verbindingsclips Trellis Vario, 8 stuks"",10"
"07097,0702633070978,""Plantenclips, 30 stuks"",10"
"07098,0702633070985,""Plantenclips, 10 stuks"",10"
"07031,0702633070312,""Trellis S - Metaal Gegalvaniseerd - incl. 4 muurbevestingen"",10"
"07032,0702633070329,""Trellis M - Metaal Gegalvaniseerd - incl. 4 muurbevestingen"",10"
"07033,0702633070336,""Trellis L - Metaal Gegalvaniseerd - incl. 4 muurbevestingen"",10"
"07034,0702633070343,""Trellis Waaier - Metaal Gegalvaniseerd -  incl. 4 muurbevestingen"",10"
"07035,0702633070350,""Trellis Regenpijp - Gegalvaniseerd - incl 4 muurbevestigingen"",10"
"07030,0702633070305,""Muurclips voor trellis - Wit transparant / 4 stuks"",10"
"07061,0702633070619,""Trellis S - Mat Zwart - incl. 4 muurbevestingen"",10"
"07062,0702633070626,""Trellis M - Mat Zwart - incl. 4 muurbevestingen"",10"
"07063,0702633070633,""Trellis L - Mat Zwart - incl. 4 muurbevestingen"",10"
"07064,0702633070640,""Trellis Waaier - Mat Zwart -  incl. 4 muurbevestingen"",10"
"07065,0702633070657,""Trellis Regenpijp - Mat Zwart - incl 4 muurbevestigingen"",10"
"07060,0702633070602,""Muurclips voor trellis - Zwart / 4 stuks"",10"
"07501,0702633075010,""Trellis Vario Rechthoek S"",10"
"07502,0702633075027,""Trellis Vario Rechthoek M"",10"
"07503,0702633075034,""Trellis Vario Gotisch M"",10"
"07505,0702633075058,""Trellis Vario Waaier M"",10"
"07506,0702633075065,""Trellis Vario Halfrond S"",10"
"07507,0702633075072,""Trellis Vario Halfrond M"",10"
"07531,0702633075317,""Pottrellis Vario S"",10"
"07532,0702633075324,""Pottrellis Vario M"",10"
"07543,0702633075430,""Plantenrek Vario S - 44 x 24 cm"",10"
"07544,0702633075447,""Plantenrek Vario M - 77 x 34 cm"",10"
"07621,0702633076215,""Potsteun boog S groen"",10"
"07622,0702633076222,""Potsteun boog S goud"",10"
"07623,0702633076239,""Potsteun boog S zwart"",10"
"07624,0702633076246,""Potsteun cirkel S groen"",10"
"07625,0702633076253,""Potsteun cirkel S goud"",10"
"07626,0702633076260,""Potsteun cirkel S zwart"",10"
"07627,0702633076277,""Potsteun deco S groen"",10"
"07628,0702633076284,""Potsteun deco S goud"",10"
"07629,0702633076291,""Potsteun deco S zwart"",10"
"07630,0702633076307,""Potsteun deco M groen"",10"
"07631,0702633076314,""Potsteun deco M goud"",10"
"07632,0702633076321,""Potsteun deco M zwart"",10"
"08098,0702633080984,""Koppelstukje plantensteun, roest 4 stuks"",10"
"08099,0702633080991,""Koppelstukje plantensteun, groen 4 stuks"",10"
"08130,0702633081301,""Plantensteun ½-rond - 6 mm"",50"
"08131,0702633081318,""Plantensteun ½-rond - 6 mm"",50"
"08132,0702633081325,""Plantensteun ½-rond - 6 mm"",50"
"08133,0702633081332,""Plantensteun ½-rond - 6 mm"",40"
"08240,0702633082407,""Plantensteun geschulpt, groen - 6 mm"",50"
"08241,0702633082414,""Plantensteun geschulpt, groen - 6 mm"",50"
"08242,0702633082421,""Plantensteun geschulpt, groen - 6 mm"",50"
"08243,0702633082438,""Plantensteun geschulpt, groen - 6 mm"",40"
"08250,0702633082506,""Plantensteun geschulpt, roest - 6 mm"",50"
"08251,0702633082513,""Plantensteun geschulpt, roest - 6 mm"",50"
"08252,0702633082520,""Plantensteun geschulpt, roest - 6 mm"",50"
"08260,0702633082605,""Plantensteun recht - 6 mm"",50"
"08261,0702633082612,""Plantensteun recht - 6 mm"",50"
"08262,0702633082629,""Plantensteun recht - 6 mm"",50"
"09101,0702633091010,""Grondpin standaard - 7 mm"",15"
"09102,0702633091027,""Grondpin standaard - 7 mm"",15"
"09103,0702633091034,""Grondpin standaard - 7 mm"",15"
"09104,0702633091041,""Grondpin standaard - 7 mm"",15"
"09105,0702633091058,""Grondpin standaard - 7 mm"",15"
"09111,0702633091119,""Grondpin deco kubus - 7 mm"",10"
"09112,0702633091126,""Grondpin deco druppel - 7 mm"",10"
"09210,0702633092109,""Steunring rond"",15"
"09211,0702633092116,""Steunring rond"",15"
"09212,0702633092123,""Steunring rond"",15"
"09214,0702633092147,""Steunring rond"",15"
"09216,0702633092161,""Steunring rond"",15"
"09217,0702633092178,""Steunring rond"",15"
"09219,0702633092192,""Steunring rond geschulpt"",15"
"09220,0702633092208,""Steunring rond geschulpt"",15"
"09222,0702633092222,""Steunring ½-rond"",15"
"09223,0702633092239,""Steunring ½-rond"",15"
"09224,0702633092246,""Steunring ½-rond"",15"
"09225,0702633092253,""Steunring ½-rond geschulpt"",15"
"09230,0702633092307,""Steunring 1/3-rond"",15"
"09251,0702633092512,""Steunring centrisch rond"",15"
"09252,0702633092529,""Steunring centrisch rond"",15"
"09261,0702633092611,""Borderrand recht"",15"
"09273,0702633092734,""Borderrand geschulpt"",15"
"09283,0702633092833,""Groeiraster rechthoekig"",5"
"09284,0702633092840,""Groeiraster rond"",5"
"09285,0702633092857,""Groeiraster rond"",5"
"09286,0702633092864,""Groeiraster rond"",5"
"09287,0702633092871,""Groeiraster recht geschulpt"",5"
"09288,0702633092888,""Groeiraster rond geschulpt"",5"
"09291,0702633092918,""Groeiraster centrisch rond"",5"
"09292,0702633092925,""Groeiraster centrisch rond"",5"
"09293,0702633092932,""Groeiraster centrisch geschulpt"",5"
"09294,0702633092949,""Raster voor hortensia Annabelle rond"",5"
"09295,0702633092956,""Raster umbrella flower"",5"
"09298,0702633092987,""Raster voor hortensia Annabelle vierkant"",5"
"15201,0702633152018,""S-haak, groen"",10"
"09400,0702633094004,""Standaard koppelstukje - 7 mm / 4 stuks"",10"
"09407,0702633094073,""Twister koppelstukje - 7 mm / 4 stuks"",10"
"09408,0702633094080,""6-Gats koppelstukje - 7 mm / 2 stuks"",10"
"10502,0702633105021,""Pinnups solarlampje"",3"
"10671,0702633106714,""Voederbolletje appelvorm"",3"
"10695,0702633106950,""Regenmeter Peacock met ring"",3"
"10701,0702633107018,""Regenmeter conisch op houder"",8"
"11100,0702633111008,""Glasfiber grondpin - 8 mm"",15"
"11101,0702633111015,""Glasfiber grondpin - 8 mm"",15"
"11102,0702633111022,""Glasfiber grondpin - 8 mm"",15"
"11103,0702633111039,""Glasfiber grondpin - 8 mm"",15"
"11200,0702633112005,""Glasfiber steunring"",15"
"11201,0702633112012,""Glasfiber steunring"",15"
"11202,0702633112029,""Glasfiber steunring, buigzaam"",15"
"11203,0702633112036,""Glasfiber steunring, buigzaam"",15"
"11400,0702633114009,""Standaard koppelstukje - 8 mm / 4 stuks"",10"
"11408,0702633114085,""Twister koppelstukje - 8 mm / 4 stuks"",10"
"11418,0702633114184,""6-Gats koppelstukje - 8 mm / 2 stuks"",10"
"11421,0702633114214,""Muurbevestiging + koppelstukje / 2 stuks"",10"
"11450,0702633114504,""Naambordje / 4 st. incl 10 wisselplaatjes"",10"
"11451,0702633114511,""Glasfiber-pins - 8 mm / 4 stuks"",10"
"12103,0702633121038,""Maxi grondpin - 9 mm"",10"
"12104,0702633121045,""Maxi grondpin - 9 mm"",10"
"12105,0702633121052,""Maxi grondpin - 9 mm"",10"
"12400,0702633124008,""Standaard koppelstukje - 9 mm / 4 stuks"",10"
"12409,0702633124091,""""""Twister"""" koppelstukje - 9 mm / 4 stuks"",10"
"12419,0702633124190,""6-Gats koppelstukje - 9 mm / 2 stuks"",10"
"13541,0702633135417,""Kokosstok naturel 40 mm"",6"
"13542,0702633135424,""Kokosstok naturel 40 mm"",6"
"13543,0702633135431,""Kokosstok naturel 40 mm"",6"
"13631,0702633136315,""Kokosstok groen 40 mm"",6"
"13632,0702633136322,""Kokosstok groen 40 mm"",6"
"13633,0702633136339,""Kokosstok groen 40 mm"",6"
"13721,0702633137213,""Kokosstok naturel 60 mm"",6"
"13722,0702633137220,""Kokosstok naturel 60 mm"",6"
"13723,0702633137237,""Kokosstok naturel 60 mm"",6"
"13811,0702633138111,""Kokosstok groen 60 mm"",6"
"13812,0702633138128,""Kokosstok groen 60 mm"",6"
"13813,0702633138135,""Kokosstok groen 60 mm"",6"
"14101,0702633141012,""Plantenstaak 8 mm"",50"
"14102,0702633141029,""Plantenstaak 8 mm"",50"
"14103,0702633141036,""Plantenstaak 11 mm"",50"
"14104,0702633141043,""Plantenstaak 11 mm"",50"
"14105,0702633141050,""Plantenstaak 16 mm"",25"
"14106,0702633141067,""Plantenstaak 16 mm"",25"
"14130,0702633141302,""Connector Plantstaken - 11mm - 3st"",10"
"14131,0702633141319,""Connector Plantstaken - 16mm - 3st"",10"
"14132,0702633141326,""Koppelclip, draaibaar / 3 stuks"",10"
"14133,0702633141333,""Koppelclip, draaibaar / 3 stuks"",10"
"14135,0702633141357,""Koppelstukje moestuin / 4 stuks"",10"
"14150,0702633141500,""Rubber plantenbinder / 10 stuks"",10"
